year,species,species_latin,how_many_counted,total_hours,how_many_counted_by_hour
2021,"Collared Forest-Falcon",Micrastur semitorquatus,1,60,0.016666666666666666
2021,"Crested Caracara",Caracara cheriway,4,60,0.06666666666666667
2021,"Yellow-headed Caracara",Milvago chimachima,15,60,0.25
2021,"Laughing Falcon",Herpetotheres cachinnans,7,60,0.11666666666666667
2021,"Merlin",Falco columbarius,1,60,0.016666666666666666
2021,"Bat Falcon",Falco rufigularis,1,60,0.016666666666666666
2021,"Barred Parakeet",Bolborhynchus lineola,450,60,7.5
2021,"Orange-chinned Parakeet",Brotogeris jugularis,35,60,0.5833333333333334
2021,"Brown-hooded Parrot",Pyrilia haematotis,21,60,0.35
2021,"Blue-headed Parrot",Pionus menstruus,48,60,0.8
2021,"White-crowned Parrot",Pionus senilis,54,60,0.9
2021,"Sulphur-winged Parakeet",Pyrrhura hoffmanni,6,60,0.1
2021,"Crimson-fronted Parakeet",Psittacara finschi,123,60,2.05
2021,"Barred Antshrike",Thamnophilus doliatus,1,60,0.016666666666666666
2021,"Black-hooded Antshrike",Thamnophilus bridgesi,11,60,0.18333333333333332
2021,"Plain Antvireo",Dysithamnus mentalis,9,60,0.15
2021,"Slaty Antwren",Myrmotherula schisticolor,7,60,0.11666666666666667
2021,"Dusky Antbird",Cercomacroides tyrannina,4,60,0.06666666666666667
2021,"Chestnut-backed Antbird",Myrmeciza exsul,2,60,0.03333333333333333
2021,"Bicolored Antbird",Gymnopithys bicolor,9,60,0.15
2021,"Silvery-fronted Tapaculo",Scytalopus argentifrons,2,60,0.03333333333333333
2021,"Black-faced Antthrush",Formicarius analis,4,60,0.06666666666666667
2021,"Olivaceous Woodcreeper",Sittasomus griseicapillus,9,60,0.15
2021,"Ruddy Woodcreeper",Dendrocincla homochroa,1,60,0.016666666666666666
2021,"Tawny-winged Woodcreeper",Dendrocincla anabatina,3,60,0.05
2021,"Wedge-billed Woodcreeper",Glyphorynchus spirurus,3,60,0.05
2021,"Cocoa Woodcreeper",Xiphorhynchus susurrans,2,60,0.03333333333333333
2021,"Spotted Woodcreeper",Xiphorhynchus erythropygius,4,60,0.06666666666666667
2021,"Brown-billed Scythebill",Campylorhamphus pusillus,3,60,0.05
2021,"Streak-headed Woodcreeper",Lepidocolaptes souleyetii,16,60,0.26666666666666666
2021,"Plain Xenops",Xenops minutus,2,60,0.03333333333333333
2021,"Scaly-throated Foliage-gleaner",Anabacerthia variegaticeps,2,60,0.03333333333333333
2021,"Lineated Foliage-gleaner",Syndactyla subalaris,3,60,0.05
2021,"Ruddy Foliage-gleaner",Clibanornis rubiginosus,3,60,0.05
2021,"Buff-throated Foliage-gleaner",Automolus ochrolaemus,1,60,0.016666666666666666
2021,"Striped Woodhaunter",Automolus subulatus,2,60,0.03333333333333333
2021,"Spotted Barbtail",Premnoplex brunnescens,1,60,0.016666666666666666
2021,"Red-faced Spinetail",Cranioleuca erythrops,6,60,0.1
2021,"Pale-breasted Spinetail",Synallaxis albescens,3,60,0.05
2021,"Slaty Spinetail",Synallaxis brachyura,5,60,0.08333333333333333
2021,"Mouse-colored Tyrannulet",Phaeomyias murina,2,60,0.03333333333333333
2021,"Yellow Tyrannulet",Capsiempis flaveola,6,60,0.1
2021,"Greenish Elaenia",Myiopagis viridicata,7,60,0.11666666666666667
2021,"Yellow-bellied Elaenia",Elaenia flavogaster,6,60,0.1
2021,"Lesser Elaenia",Elaenia chiriquensis,2,60,0.03333333333333333
2021,"Mountain Elaenia",Elaenia frantzii,2,60,0.03333333333333333
2021,"Ochre-bellied Flycatcher",Mionectes oleagineus,7,60,0.11666666666666667
2021,"Slaty-capped Flycatcher",Leptopogon superciliaris,1,60,0.016666666666666666
2021,"Scale-crested Pygmy-Tyrant",Lophotriccus pileatus,13,60,0.21666666666666667
2021,"Northern Bentbill",Oncostoma cinereigulare,1,60,0.016666666666666666
2021,"Slate-headed Tody-Flycatcher",Poecilotriccus sylvia,8,60,0.13333333333333333
